"","CV EC50","CV EC10","CV EC5","RMSE EC50","RMSE EC10","RMSE EC5"
"DRC cat",10.5539701018755,10.528731992052,10.3733778616833,5.07950002328953,4.92537608132742,6.2781036481948
"DRC cont",9.94899300966748,9.42796632269786,9.34775151939088,4.94847838188776,4.30329328199946,5.45579030390017
