"","mean SE 50","median SE 50","Lower CI SE 50","upper CI SE 50","mean SE 10","median SE 10","Lower CI SE 10","upper CI SE 10","mean SE 5","median 5","Lower CI 5","upper CI 5"
"DRC cat",4.74779019791808,4.45734171320637,3.2721960756783,6.58828683777155,4.87192871303212,4.14145604014557,2.81784513484171,7.18805788678056,4.84631070631078,4.01159529309203,2.4786895206988,7.16994325696215
"DRC cont",4.43527217109455,4.33421402294926,3.18385627232974,6.1913559797448,4.19385401891359,4.05339600625757,2.92073381542849,6.12186436893009,4.13353293104904,3.99178028357982,2.80701910925646,6.26162736115921
