"","Est.","CI(95%).Lower","CI(95%).Upper"
"526",4.999,3.159,6.838
"527",9.853,8.447,11.26
"528",6.3,4.431,8.169
"529",30.62,28.89,32.35
"530",3.823,2.035,5.611
"531",7.042,5.413,8.671
"532",6.323,4.4,8.246
"533",6.3,4.686,7.914
"534",16.88,15.34,18.43
"535",12.53,11.16,13.91
"536",9.905,8.448,11.36
"537",6.328,4.738,7.918
"538",9.923,8.607,11.24
"539",7.953,5.961,9.946
"540",7.895,6.267,9.523
"541",2.89,0.4801,5.3
"542",6.215,4.331,8.1
"543",1.015,-1.292,3.323
"544",15.71,14.11,17.3
"545",9.822,8.443,11.2
"546",14.1,12.76,15.43
"547",9.941,8.496,11.39
"548",9.903,8.437,11.37
"549",5.849,4.557,7.14
"550",2.082,-0.2425,4.406
"551",19.66,18.21,21.1
"552",3.896,2.085,5.708
"553",8.554,6.834,10.28
"554",8.622,7.115,10.13
"555",7.388,5.742,9.033
"556",7.154,5.527,8.781
"557",9.236,7.721,10.75
"558",1.049,-1.28,3.377
"559",12.52,11.05,13.99
"560",12.48,11.2,13.76
"561",10.17,8.776,11.56
"562",9.78,8.082,11.48
"563",9.848,8.124,11.57
"564",8.514,7.111,9.917
"565",3.279,0.8867,5.671
"566",8.559,7.167,9.951
"567",1.852,-0.4997,4.204
"568",1.225,-0.4695,2.92
"569",19.78,18.19,21.36
"570",12.48,11.05,13.91
"571",7.961,6.237,9.685
"572",19.77,18.24,21.3
"573",7.187,5.252,9.121
"574",6.292,4.702,7.882
"575",1.68,-0.5958,3.957
"576",4.068,1.631,6.506
"577",16.69,15.18,18.21
"578",3.883,1.484,6.283
"579",15.68,13.96,17.4
"580",2.257,-0.04347,4.557
"581",2.404,0.01164,4.797
"582",6.63,4.712,8.548
"583",5.039,2.559,7.518
"584",12.5,11.06,13.93
"585",11.8,10.18,13.43
"586",15.61,14.02,17.2
"587",3.837,2.077,5.597
"588",3.896,2.116,5.675
"589",12.49,10.93,14.04
"590",15.59,14.2,16.97
"591",5,3.187,6.812
"592",6.302,4.659,7.944
"593",5.012,3.149,6.876
"594",3.854,1.45,6.258
"595",1.066,-1.287,3.419
"596",4.431,2.624,6.238
"597",15.28,13.85,16.71
"598",1.058,-1.334,3.449
"599",9.902,8.306,11.5
"600",6.29,4.883,7.698
"601",15.68,14.14,17.22
"602",3.901,1.453,6.349
"603",6.316,4.722,7.911
"604",1.418,-0.879,3.715
"605",5.028,3.468,6.588
"606",5.501,3.93,7.071
"607",12,10.51,13.5
"608",3.813,2.023,5.602
"609",6.296,4.423,8.168
