"","NEC Cont","NEC Cat","BAYES NEC Cont","BAYES NEC cat","PW cont","PW cat","ROC Cont","ROC cat","EC5 Cont","EC5 cat"
"1",22.4558940297792,23.638120654274,22.4603665789123,17.7257491632398,6.528,1.206,41.0819560530616,37.7647071185686,18.5990720341933,16.4950261697139
"2",16.7731862780277,24.1678290450039,10.7073925525673,31.6512777511879,13.51,12.22,41.2344335405848,41.3861886072742,18.3405099435802,24.0200092875884
"3",26.3760786924586,11.8094963465625,21.452385847286,24.7004603137406,1.03,7.176,37.3691833432066,39.144809392813,18.246075894987,20.0785473612228
"4",31.5005442751542,36.677647713292,23.9847966785656,24.9326664623393,9.859,11.44,39.4617481060942,40.6643718213819,20.8645795444231,18.9404608684031
"5",20.4168616316857,12.5036543448588,19.9456031710129,6.71271497714888,4.994,1.665,41.4374572545543,37.6296309585947,22.1480353878068,14.6280507983904
"6",19.820425266962,20.4557621738567,24.7979153128133,13.1589681930522,14.34,12.5,44.66279401392,36.7665383557132,21.463683270372,12.7990516080849
"7",17.9739109389861,38.09011046895,16.0771888116693,1.12156041139697,12.52,12.48,35.5994984005785,39.1685784723548,16.9667232583297,15.3429205014049
"8",37.5726018512556,21.8347652637802,19.693860490633,1.2164335688265,9.927,10.87,40.226659268352,21.1067098479506,17.0937925379263,10.9159957166411
"9",19.8206835130528,23.6026195630496,16.9106792608713,19.8419297802367,5.038,1.038,38.6411062630031,38.4055694384595,16.2619198389484,18.000458212623
"10",19.7867745091156,36.3496747993142,24.5423553012986,27.1618959399119,37.08,12.22,42.8011364212846,41.9818488922944,22.4339273340047,21.8906795528958
"11",19.8138156034964,24.9463177493509,21.2762747871462,23.1450275536762,7.899,6.259,41.3039386684448,38.8653852164679,20.149478875822,20.3816429629345
"12",21.730012559973,22.3070671214611,19.6669935105439,22.7318508662039,18.03,8.73,34.9105372671072,40.8197772967435,18.0163144801163,18.7391140943629
"13",19.7875359618363,19.1252438389527,16.2699667742061,24.7441449322934,6.304,6.327,41.8303957777322,37.7745760181654,20.0408451015996,18.8713881545331
"14",19.8051927738595,15.9231453383059,17.5137664903635,0.00716031830404035,7.451,6.305,36.4601722125321,38.4873737587715,14.5579299646727,11.5590638805551
"15",35.2174996948108,19.1445944172401,21.6527580024679,33.1971650511472,3.907,1.199,32.0412300808359,42.6267512058465,14.3661733601187,25.6444397858879
"16",22.0960311569588,41.4142085714786,17.4485006074115,28.978363549979,3.904,11.77,33.012264248486,40.5974108348477,18.5197284410351,23.0918161054177
"17",15.7055253335245,19.9355760393965,42.7862308767096,22.1465564238846,7.291,13.25,35.7346022382037,38.8037608675072,15.6293284420434,18.8149627804353
"18",15.7152640451468,18.9512194975596,19.2190935896483,18.1316364069695,14.41,6.301,59.8878092684579,38.5113070804329,38.3354710704226,16.481817667843
"19",15.7585913948151,35.5720666057826,27.9412601465022,12.6739543295104,12.52,9.295,38.0496221873316,37.9221647962915,17.1538443314622,14.3038639171778
"20",37.0492287055609,14.8150017535601,26.4768327577763,22.7749335610313,9.901,2.187,41.7075041074249,38.2844537842805,24.9394708991455,20.5706251502458
"21",19.8018712436472,33.0668348536394,21.8755265174277,24.3915832037875,7.732,16.06,35.2346874713099,39.1906385891888,21.1912654185067,19.8921062991027
"22",27.4943092026162,33.8429393912894,15.5578151181282,25.3946398900048,1.285,6.16,40.2401654316415,39.8401602258807,19.9170645254119,20.7942747316401
"23",17.0106942365369,31.5202802788389,19.3351132243578,18.7584780608252,5.069,1.239,37.4745711814842,38.3410963293966,14.6053400049927,17.9193408921648
"24",21.5546962139779,20.0839401320212,14.1775140186104,35.6290655629987,12.48,9.989,29.2321157248779,46.3439803451401,12.9611107584191,28.863634631272
"25",21.3419678139593,18.5109397007471,17.439527116396,12.4367165320248,7.925,1.506,35.6213023087124,38.4420153534031,14.4117316341222,16.3442418270771
"26",19.8185164286035,17.504040532823,27.4203976741208,15.7651861627849,1.424,6.147,38.589237815552,39.2817472206977,17.8264786988403,16.6421695183478
"27",47.5235357320011,33.707535106073,23.9156151123602,32.5593519408156,4.972,6.245,35.0272182608052,41.9028150655251,10.0013072562222,24.5410612654497
"28",16.0792070977998,40.8952631689615,19.8503258460363,8.90867134172628,2.695,1.108,35.4938831939331,37.5310429194718,24.5123192045142,12.6671140580434
"29",19.8013690426675,15.360352263634,21.1116556677831,31.7470028109062,10.53,8.972,40.0885906768503,44.0265071271577,20.6845748818405,26.7199915475589
"30",20.2014236190729,19.882144152657,16.2998061820229,19.3276022264864,2.881,12.45,34.0186996468439,36.3043871422558,18.0094725200565,15.9951556418583
"31",19.7817536767665,12.3028435032416,42.9668949777081,2.64972841650452,4.799,24.94,44.7055238018766,40.1354322576324,19.3818352138556,18.8232039746864
"32",19.7994392666441,14.5216385955979,17.9819117332827,17.6820686991218,7.849,6.024,34.5417411065536,37.2447808746008,9.66468980909776,14.8283205379485
"33",17.2161550169059,40.5593232883036,11.6597330440242,2.34162497022347,7.965,1.292,35.7847272510318,41.0733742776427,17.2196206498318,17.2138675802348
"34",18.0287905289269,37.1973789105551,19.2978136026156,23.6950541333584,4.957,1.167,49.9591516970885,40.0995872687368,35.1789942892421,20.1199157943827
"35",18.1044920203724,33.6611469565982,17.5062419665133,23.1282536769638,14.09,1.37,43.0898513002022,37.1646476728563,16.3311665054142,17.1875762559499
"36",43.2673079765891,42.1443700164945,26.9636287333337,0.00426061137659548,2.976,12.5,41.2796891342594,39.1442094712362,13.8511649899542,13.3729834359341
"37",27.7933265467213,14.194220234157,17.7821490606429,18.004656657515,6.314,12.48,37.908235273359,37.3606421105654,16.4492286417794,17.1121059924736
"38",35.0043951928428,17.6349635692982,16.806097084806,17.3732328768071,12.57,4.65,43.2041791880158,38.9685416120383,16.5032719607422,16.8239801729511
"39",24.9999374269855,30.8722142698599,24.0110200493318,9.91601467695264,7.901,1.033,44.1795976071707,37.7580747448567,16.6304744951539,13.5170535841039
"40",21.4558495010522,13.2118691734607,22.9241874017923,13.6670978905111,4.101,2.498,35.1398427811303,37.7048666073138,16.8935471119741,16.5802192321193
"41",30.0435323779836,34.659149410789,16.724859655732,19.6056710355102,15.7,20.91,30.5022328571677,38.888866526816,14.3895281123685,17.9296154245896
"42",27.6283903316757,45.3415545661284,23.4375381589301,30.4189699392749,9.895,6.242,37.1504706511207,42.1004829306921,22.9809996620496,23.972970136551
"43",15.7006360655603,20.7685292818208,29.3178104473159,38.2318558432011,2.83,1.539,31.8750183985785,46.2298418298441,15.5509630043993,31.7248630084268
"44",19.8064179435713,13.9825975765857,21.2898409252091,30.6128650262891,9.891,3.88,35.5504189422795,40.3896045407537,15.6883498647999,22.3341797175501
"45",19.7855995035805,15.9960308424248,20.7100307419514,7.38185886753816,1.429,5.956,43.2298847901036,37.4107083697212,21.2250527876653,11.6367607884969
"46",23.9892161435115,33.7222103983217,29.7753776531674,14.3048352276558,15.34,12.49,40.3903980073196,34.4405825885389,20.4358035389053,10.9747079728466
"47",6.79564975384076,22.6527879895105,20.410948512612,16.7307944139132,2.049,4.695,41.4428899025949,36.9599543659546,18.8535848072048,14.8160021552323
"48",24.9741752352969,17.9547035847079,17.9230969085652,17.123700543775,11.2,2.866,32.1636929908637,37.497509938078,9.8017502212361,15.1970488107088
