"","mean 50","median 50","Lower CI 50","upper CI 50","mean 10","median 10","Lower CI 10","upper CI 10","mean 5","median 5","Lower CI 5","upper CI 5"
"DRC cat",44.9316588263366,44.6958654973297,36.2706851323956,54.1976588967879,22.1327616439306,21.8591637779865,13.8546737421872,31.4147323701473,17.5011543492128,17.0197362344579,9.57641286141753,26.677372852869
"DRC cont",45.179459300804,44.8025478805102,37.2622619380106,54.869457104182,22.8848494897635,22.5686182262738,15.3455992110356,32.3846122984247,18.2532228001391,18.0163144801163,10.7331328284792,27.9251321125312
